Dataset,Year,Type,Origin,Number of images in thousands,Rating Method,Rating Type,Scale,Average Number of Rating per Image,Download Link,Paper Link
AADB,2016,Pictures,Flickr,10,CS-AMT,aesthetic quality,0-5,5,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
AROD,2023,Pictures,Flickr,380,UR,favs per views,0-1,6868,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
ArtPics,2012,AI-generated images,AI-generated,2.3,"LAB, OS",liking,1-8,84,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
AVA,2011,Pictures,DPChallenge.com,255,UR,challenge scores,1-10,210,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
EVA,2016,Pictures,subset of AVA,4.1,OS,challenge scores,0-10,35,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
Flickr,2008,Pictures,Flickr,40,CS-AMT,aesthetic quality,1-5,5,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
HiddenBeauty,2001,Pictures,Flickr,10.8,CS-CF,beauty,1-5,5,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
JA,2015,Traditional Paintings,Google Art Project,1.6,"LAB, OS","aesthetic quality, beauty",0-100,20,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
MSC,2020,Pictures,unknown,10.4,CS,aesthetic quality,1-5,100,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
OASIS,2023,Pictures,"Pixaby, Google",0.9,CS-AMT,beauty,1-7,189,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
Photo.net,2011,Pictures,Photo.net,14.8,UR,aesthetic quality,1-7,12,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
VAPS,2009,Traditional Paintings,mostly Artstor,1,LAB,liking,1-7,20,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
WikiEmo,2001,Traditional Paintings,WikiArt,4.1,CS-CF,liking,-3 to 3,10,https://github.com/imfing/ava_downloader,https://ieeexplore.ieee.org/abstract/document/6247954
